# RUTA 4 — Via Calzada Aguilar Batres
# CIUDAD|id|nombre|lat|lon|alt|tipo|d0,d1,d2,d3,d4
# RUTA|idOrigen|idDestino|distancia|tiempoBase|velocidadMaxima|m0,m1,m2,m3,m4

CIUDAD|1|Plaza Tigo Torre 3|14.5895|-90.5157|1200.0|inicio|0.0,2.0,1.0,3.0,1.5
CIUDAD|19|Calzada Aguilar Batres Z12|14.5712|-90.5389|1200.0|intermedio|0.0,3.0,1.5,2.8,2.2
CIUDAD|20|Villa Lobos Z12|14.5534|-90.5512|1210.0|intermedio|0.0,2.5,1.3,2.3,1.8
CIUDAD|21|Barcenas Villa Nueva|14.5123|-90.6012|1250.0|intermedio|0.0,1.5,0.8,1.4,1.2
CIUDAD|22|Ciudad Vieja Sacatepequez|14.5234|-90.7123|1560.0|intermedio|0.0,0.8,0.4,0.8,0.6
CIUDAD|8|Jocotenango|14.5623|-90.7298|1540.0|intermedio|0.0,1.0,0.5,1.0,0.8
CIUDAD|9|UMG Antigua Jocotenango|14.5579|-90.7352|1530.0|destino|0.0,0.0,0.0,0.0,0.0

RUTA|1|19|2.3|4.0|40|1.0,3.0,1.6,2.8,2.2
RUTA|19|20|2.1|3.5|60|1.0,2.5,1.3,2.2,1.8
RUTA|20|21|6.8|8.0|80|1.0,1.8,1.1,1.6,1.4
RUTA|21|22|16.3|18.0|100|1.0,1.2,1.0,1.1,1.0
RUTA|22|8|4.2|5.0|60|1.0,1.0,1.0,1.0,1.0
RUTA|8|9|1.2|2.0|40|1.0,1.2,1.1,1.2,1.0
